English word,French word,Frequency
Mischief,undefined,1
misery,misère,37
Misery,undefined,2
mistake,erreur,34
Mistake,undefined,6
mistress,maîtresse,262
Mistress,undefined,146
MISTRESS,undefined,45
modest,modeste,35
Modest,undefined,3
money,argent,179
MONEY,undefined,1
Money,undefined,7
monster,monstre,76
Monster,undefined,7
month,mois,44
morning,Matin,130
Morning,undefined,2
morrow,demain,326
mortal,mortel,96
Mortal,undefined,2
mother,mère,399
Mother,undefined,35
MOTHER,undefined,3
motion,mouvement,80
Motion,undefined,1
mouth,bouche,145
MOWBRAY,undefined,38
Mowbray,undefined,28
Murder,undefined,19
murder,meurtre,57
murther,aller plus loin,45
Murther,undefined,14
Music,undefined,40
music,la musique,162
MUSIC,undefined,1
myself,moi même,512
Myself,undefined,55
naked,nu,50
Naked,undefined,2
names,des noms,49
native,originaire de,43
Natural,undefined,1
natural,Naturel,57
Nature,undefined,53
nature,la nature,332
needs,Besoins,142
Needs,undefined,5
neighbour,voisine,51
Neighbour,undefined,4
NEIGHBOUR,undefined,3
NEITHER,undefined,1
Neither,undefined,30
neither,ni,155
never,jamais,907
Never,undefined,113
niece,nièce,61
Niece,undefined,3
night,nuit,808
Night,undefined,6
NIGHT,undefined,2
noble,noble,588
Noble,undefined,28
noise,bruit,107
Noise,undefined,3
nothing,rien,541
Nothing,undefined,94
NOTHING,undefined,1
nought,néant,54
Nought,undefined,4
NUMBER,undefined,1
number,nombre,54
nurse,infirmière,73
NURSE,undefined,16
Nurse,undefined,120
oaths,serments,68
Oaths,undefined,1
obedience,obéissance,48
Obedience,undefined,4
OBERON,undefined,37
Oberon,undefined,8
object,objet,39
occasion,occasion,73
Occasion,undefined,1
offence,infraction,94
Offence,undefined,2
offend,offenser,57
Offend,undefined,3
offer,offre,104
Offer,undefined,4
office,Bureau,127
Office,undefined,1
often,souvent,121
Often,undefined,3
OLIVER,undefined,49
Oliver,undefined,8
opinion,opinion,81
Opinion,undefined,3
order,ordre,90
Order,undefined,3
ORDER,undefined,1
ORLANDO,undefined,138
Orlando,undefined,26
other,autre,687
OTHER,undefined,2
Other,undefined,23
OTHERS,undefined,233
others,autres,182
Others,undefined,5
ourselves,nous-mêmes,108
Ourselves,undefined,7
outward,vers l'extérieur,50
Oxford,undefined,26
OXFORD,undefined,30
Padua,undefined,41
pains,des douleurs,91
painted,peint,52
Painted,undefined,1
painter,peintre,10
PAINTER,undefined,35
palace,palais,151
Palace,undefined,9
Pandarus,undefined,17
PANDARUS,undefined,171
paper,papier,106
pardon,pardon,243
Pardon,undefined,67
Paris,undefined,98
PARIS,undefined,40
PAROLLES,undefined,163
Parolles,undefined,12
parted,séparé,44
Parted,undefined,3
PARTICULAR,undefined,1
particular,particulier,54
Particular,undefined,1
partly,partiellement,33
Partly,undefined,2
parts,les pièces,107
Parts,undefined,4
party,fête,51
passage,passage,35
passion,la passion,106
Passion,undefined,2
patience,la patience,160
Patience,undefined,25
PATIENCE,undefined,5
patient,patient,88
Patient,undefined,2
PAULINA,undefined,69
Paulina,undefined,17
peace,paix,396
Peace,undefined,143
Pedro,undefined,155
people,gens,213
People,undefined,5
PEOPLE,undefined,2
perceive,apercevoir,91
Perceive,undefined,1
Percy,undefined,64
PERCY,undefined,23
perfect,parfait,55
perhaps,peut-être,32
Perhaps,undefined,13
peril,péril,43
PERMISSION,undefined,221
permission,autorisation,4
person,la personne,150
Person,undefined,2
PERSONAL,undefined,221
personal,personnel,13
PHEBE,undefined,29
Phebe,undefined,18
Philip,undefined,19
PHILIP,undefined,52
picture,image,43
piece,pièce,89
Piece,undefined,1
pistol,pistolet,4
PISTOL,undefined,143
Pistol,undefined,40
place,endroit,450
Place,undefined,7
plague,peste,88
Plague,undefined,6
Plain,undefined,4
plain,plaine,117
plead,plaider,41
Plead,undefined,7
Please,undefined,62
please,S'il vous plaît,334
pleasure,plaisir,179
Pleasure,undefined,1
pluck,cueillir,116
Pluck,undefined,23
Poins,undefined,70
POINS,undefined,33
point,point,145
Point,undefined,2
poison,poison,89
Poison,undefined,6
policy,politique,45
Polixenes,undefined,16
POLIXENES,undefined,68
Pompey,undefined,92
POMPEY,undefined,119
porter,porter,106
Porter,undefined,4
PORTER,undefined,24
possible,possible,57
Possible,undefined,1
POSTHUMUS,undefined,97
Posthumus,undefined,32
pound,livre,54
power,Puissance,302
Power,undefined,4
POWER,undefined,1
practice,entraine toi,41
praise,louange,177
Praise,undefined,5
prayers,prières,85
precious,précieux,76
Precious,undefined,2
prepare,préparer,48
Prepare,undefined,17
presence,présence,103
Presence,undefined,3
present,présent,239
Present,undefined,7
pretty,jolie,109
Pretty,undefined,8
pride,fierté,106
Pride,undefined,5
priest,prêtre,61
Priest,undefined,5
PRIEST,undefined,6
prince,prince,119
Prince,undefined,475
PRINCE,undefined,178
Prison,undefined,3
prison,prison,89
private,privé,66
prize,prix,47
proceed,procéder,47
Proceed,undefined,25
proclaim,proclamer,50
Proclaim,undefined,11
profit,profit,38
Profit,undefined,1
PROHIBITED,undefined,221
Project,undefined,17
PROJECT,undefined,222
project,projet,12
prologue,prologue,19
Prologue,undefined,5
PROLOGUE,undefined,16
promise,promettre,105
Promise,undefined,3
proof,preuve,80
Proof,undefined,2
proper,correct,62
Proper,undefined,3
Protector,undefined,53
PROTECTOR,undefined,1
protector,protecteur,2
protest,manifestation,52
Protest,undefined,1
proud,fier,194
Proud,undefined,19
prove,prouver,233
Prove,undefined,19
PROVIDED,undefined,222
provided,à condition de,27
Provided,undefined,4
Public,undefined,1
PUBLIC,undefined,1
public,Publique,55
PURPOSE,undefined,1
purpose,objectif,203
Purpose,undefined,4
purse,bourse,87
Purse,undefined,1
quality,qualité,55
quarrel,querelle,95
Quarrel,undefined,3
queen,reine,189
Queen,undefined,376
QUEEN,undefined,414
question,question,148
Question,undefined,8
quick,rapide,101
Quick,undefined,10
quiet,silencieux,73
Quiet,undefined,4
quite,assez,72
Quite,undefined,14
quoth,quoth,62
Quoth,undefined,4
raise,élever,43
Raise,undefined,4
ransom,une rançon,59
rascal,coquin,60
Rascal,undefined,1
rather,plutôt,290
Rather,undefined,32
READABLE,undefined,221
Readable,undefined,1
readable,lisible,2
ready,prêt,125
Ready,undefined,18
realm,domaine,53
reason,raison,279
Reason,undefined,9
receive,recevoir,81
Receive,undefined,17
Regard,undefined,2
regard,qui concerne,41
reign,règne,46
Reign,undefined,2
REIGNIER,undefined,35
Reignier,undefined,14
remain,rester,59
Remain,undefined,7
remedy,remède,59
remember,rappelles toi,152
Remember,undefined,39
render,rendre,44
Render,undefined,2
repair,réparation,38
Repair,undefined,8
repent,se repentir,52
Repent,undefined,7
report,rapport,142
Report,undefined,6
reputation,réputation,45
Reputation,undefined,2
request,demande,67
respect,le respect,100
Respect,undefined,1
return,revenir,224
